Category,Metric,Value
count,total_mixes,654
count,total_components,2738
count,average_components_per_mix,4.19
count,unique_materials,6
count,total_material_properties,17
count,unique_property_types,15
count,average_properties_per_material,2.83
count,total_aggregate_details,2
count,aggregate_materials,2
count,average_details_per_aggregate,1.0
count,total_performance_results,2114
count,result_categories,1
count,average_results_per_mix,3.23
component_distribution,CEMENT,654
component_distribution,SCM,368
component_distribution,AGGR_C,1062
component_distribution,WATER,654
issues,mixes_with_no_components,0
issues,materials_with_no_properties,3
issues,aggregates_with_no_details,0
issues,mixes_with_no_results,0
component_distribution,CEMENT,654
component_distribution,SCM,368
component_distribution,AGGR_C,1062
component_distribution,WATER,654
property_type_distribution,sio2_pct,1
property_type_distribution,al2o3_pct,1
property_type_distribution,fe2o3_pct,1
property_type_distribution,cao_pct,1
property_type_distribution,mgo_pct,1
property_type_distribution,na2o_pct,1
property_type_distribution,k2o_pct,1
property_type_distribution,so3_pct,1
property_type_distribution,blaine_m2_kg,1
property_type_distribution,reactivity_modulus,1
property_type_distribution,silica_modulus,1
property_type_distribution,alumina_modulus,1
property_type_distribution,specific_gravity_g_cm3,1
property_type_distribution,crushing_index_pct,2
property_type_distribution,la_abrasion_pct,2
aggregate_detail_fields,bulk_density_kg_m3,2
aggregate_detail_fields,water_absorption_pct,2
aggregate_detail_fields,fineness_modulus,2
aggregate_detail_fields,d_upper_mm,2
result_category_distribution,hardened,2114
