material_id_old,material_id_new,run_ts,merge_source,class_code,subtype_code,specific_name
17,5,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,fly_ash,Fly Ash (General)
19,4,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,ggbs,Ground-granulated Blast-furnace Slag
20,7,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,ADM,superplasticizer,Superplasticizer (HRWR)
22,7,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,ADM,superplasticizer,Superplasticizer (HRWR)
25,6,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,WATER,water,Water
33,4,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,ggbs,Ground-granulated Blast-furnace Slag
34,7,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,ADM,superplasticizer,Superplasticizer (HRWR)
45,5,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,fly_ash,Fly Ash (General)
70,31,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,silica_fume,Silica Fume
71,48,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,calcined_clay,Calcined Clay (Metakaolin)
74,73,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,pofa,Palm Oil Fly Ash
78,52,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,fly_ash_bituminous,Fly Ash - Bituminous Coal (Class F)
79,51,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,fly_ash_lignite,Fly Ash - Lignite/Brown Coal (Class F)
80,31,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,silica_fume,Silica Fume
81,21,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,limestone_powder,Limestone Powder (Filler)
82,48,2025-05-08 09:42:09.261226+02,comprehensive_cleanup,SCM,calcined_clay,Calcined Clay (Metakaolin)
