phase,material_id,class_code,subtype_code_norm,specific_name_norm
before,4,SCM,ggbs,ggbs
before,5,SCM,fa,fly ash
before,6,WATER,(null),water
before,7,ADM,sp,superplasticizer
before,8,AGGR_C,(null),nca
before,9,AGGR_F,(null),nfa
before,13,WATER,water,water
before,14,AGGR_F,nfa,natural fine aggregate
before,15,AGGR_C,rca,recycled coarse aggregate
before,16,AGGR_C,nca,natural coarse aggregate
before,17,SCM,fly ash,fly ash
before,19,SCM,bfs,ggbs
before,20,ADM,pce,superplasticizer
before,21,SCM,limestone powder,limestone powder
before,22,ADM,superplasticizer,superplasticizer
before,24,SCM,(null),scm 1
before,25,WATER,water,water
before,26,ADM,(null),adm 1
before,31,SCM,sf,sf
before,32,ADM,air_entrainer,air_entrainer
before,34,ADM,sp,sp
before,38,SCM,iii/c,iii/c
before,44,ADM,accelerator,accelerator
before,45,SCM,fa,fa
before,46,ADM,sp___air_entrainer,sp___air_entrainer
before,47,SCM,cfa,cfa
before,48,SCM,cc,cc
before,50,ADM,retarder,retarder
before,51,SCM,fly_ash_lignite_brown_coal_,fly_ash_lignite_brown_coal_
before,52,SCM,fly_ash_bituminous_coal,fly_ash_bituminous_coal
before,54,SCM,specific_name,opc
before,53,CEMENT,(null),portland cement
before,68,WATER,added_water,dosage_kg_m3
before,70,SCM,sf,dosage_kg_m3
before,71,SCM,mk,dosage_kg_m3
before,72,SCM,ba,ba
before,73,SCM,pofa,pofa
before,74,SCM,pocp,pocp
before,75,SCM,fluidized_fly_ash,fluidized_fly_ash
before,76,SCM,natural_zeolite,natural_zeolite
before,77,SCM,scm1,dosage_kg_m3
before,33,SCM,ggbfs,ggbs (ground-granulated bf slag)
before,82,SCM,calcined_clay,calcined clay (metakaolin)
before,69,SCM,rha,rice husk ash
before,3,CEMENT,cem i,cem i
before,23,CEMENT,cem_i,cem_i
before,27,CEMENT,cem_iii/a,cem_iii/a
before,28,CEMENT,cem_iii/b,cem_iii/b
before,29,CEMENT,cem_ii/all,cem_ii/all
before,30,CEMENT,cem_ii/bs,cem_ii/bs
before,35,CEMENT,cem_ii/bm__sll_,cem_ii/bm__sll_
before,37,CEMENT,cem_ii/bv,cem_ii/bv
before,39,CEMENT,cem_ii/bll,cem_ii/bll
before,40,CEMENT,cem_ii/cm__sll_,cem_ii/cm__sll_
before,41,CEMENT,cem_ii/bm__vll_,cem_ii/bm__vll_
before,42,CEMENT,cem_ii/cm__vll_,cem_ii/cm__vll_
before,43,CEMENT,cem_ii/as,cem_ii/as
before,49,CEMENT,cem_ii/am__sll_,cem_ii/am__sll_
before,78,SCM,fly_ash_bituminous,fly ash – bituminous coal (class f)
before,79,SCM,fly_ash_lignite,fly ash – lignite/brown coal (class f)
before,80,SCM,silica_fume,silica fume
before,81,SCM,limestone_powder,limestone powder (filler)
before,36,SCM,natural_pozzolan,natural pozzolan
